case,days,miles,receipts,expected,predicted,difference,percent_error
11,2,202.0,21.24,356.17,325.56,-30.610000000000014,-8.594210629755457
24,5,679.0,476.08,1030.41,1029.87,-0.540000000000191,-0.0524063236964112
26,5,261.0,464.94,621.12,710.15,89.02999999999997,14.333784131890772
31,5,477.0,704.42,1045.96,1114.9,68.94000000000005,6.591074228459984
40,5,249.0,873.75,1185.24,1168.72,-16.519999999999982,-1.3938105362626962
45,12,333.0,1103.21,1618.13,1539.1,-79.0300000000002,-4.884032803297646
55,8,630.0,967.69,1388.05,1395.65,7.600000000000136,0.5475307085479728
56,10,909.0,696.0,1505.19,1487.93,-17.25999999999999,-1.1466990878227992
60,9,885.0,1764.97,1694.37,1897.37,203.0,11.980854240809268
61,6,855.0,591.35,1339.72,1090.31,-249.41000000000008,-18.61657659809513
64,3,981.0,341.45,813.95,726.14,-87.81000000000006,-10.78813194913693
67,3,795.0,450.85,743.94,751.16,7.219999999999914,0.9705083743312516
68,3,606.0,1184.23,1364.54,1459.34,94.79999999999995,6.94739619212335
71,7,624.0,148.16,905.79,848.89,-56.89999999999998,-6.281809249384512
73,3,874.0,1191.4,1515.99,1432.79,-83.20000000000005,-5.488162850678437
77,7,817.0,1127.87,1809.91,1639.12,-170.7900000000002,-9.43638081451565
79,1,909.0,741.82,866.07,572.73,-293.34000000000003,-33.87024143544979
87,9,397.0,348.49,913.29,1017.64,104.35000000000002,11.42572457817342
89,2,384.0,495.49,290.36,616.27,325.91,112.2434219589475
97,2,782.17,830.72,1165.44,1251.14,85.70000000000005,7.3534459088413
102,1,257.97,816.81,738.01,636.19,-101.81999999999994,-13.796561022208362
108,3,1317.07,476.87,787.42,1139.94,352.5200000000001,44.76899240557772
111,5,198.21,594.83,807.48,667.85,-139.63,-17.29206915341556
121,8,264.94,720.67,1019.85,1037.45,17.600000000000023,1.7257439819581333
137,6,825.0,1692.73,1817.77,1718.76,-99.01,-5.446783696507258
138,8,1118.0,1758.52,1852.47,1894.85,42.37999999999988,2.287756346931388
140,6,811.0,1252.04,1771.8,1704.06,-67.74000000000001,-3.823230612935998
159,2,753.0,1111.16,1353.87,1459.34,105.47000000000004,7.790260512456886
169,7,948.0,657.17,1578.97,1253.76,-325.21000000000004,-20.59633811915363
